#-----------------------------------------------------------
# xsim v2018.3 (64-bit)
# SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
# IP Build 2404404 on Fri Dec  7 01:43:56 MST 2018
# Start of session at: Thu Apr 30 18:15:56 2026
# Process ID: 26648
# Current directory: D:/System/desktop/kldj_sourceset/pipilined5
# Command line: xsim.exe -mode tcl -source {xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl}
# Log file: D:/System/desktop/kldj_sourceset/pipilined5/xsim.log
# Journal file: D:/System/desktop/kldj_sourceset/pipilined5\xsim.jou
#-----------------------------------------------------------
source xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl
# xsim {rv32i_supported_instr_tb_sim} -autoloadwcfg -runall
Vivado Simulator 2018.3
Time resolution is 1 ps
run -all
[FAIL] step=176 pc=0x800002c0 inst=0x81808193 x3 expected=0x930b2515 got=0x42074400
[FAIL] step=177 pc=0x800002c4 inst=0x24b5f0b7 x1 expected=0x24b5f000 got=0x930b2cfd
[FAIL] step=178 pc=0x800002c8 inst=0x7a208093 x1 expected=0x24b5f7a2 got=0x24b5f000
[FAIL] step=179 pc=0x800002cc inst=0x7ee0a193 x3 expected=0x00000000 got=0x930b2515
[FAIL] step=180 pc=0x800002d0 inst=0x5e1e40b7 x1 expected=0x5e1e4000 got=0x24b5f7a2
[FAIL] step=181 pc=0x800002d4 inst=0x32f08093 x1 expected=0x5e1e432f got=0x5e1e4000
[FAIL] step=182 pc=0x800002d8 inst=0x8870b193 x3 expected=0x00000001 got=0x00000000
[FAIL] step=183 pc=0x800002dc inst=0x1616e0b7 x1 expected=0x1616e000 got=0x5e1e432f
[FAIL] step=184 pc=0x800002e0 inst=0x61e08093 x1 expected=0x1616e61e got=0x1616e000
[FAIL] step=185 pc=0x800002e4 inst=0x0010c193 x3 expected=0x1616e61f got=0x00000001
[FAIL] step=186 pc=0x800002e8 inst=0x0cd440b7 x1 expected=0x0cd44000 got=0x1616e61e
[FAIL] step=187 pc=0x800002ec inst=0xd1d08093 x1 expected=0x0cd43d1d got=0x0cd44000
[FAIL] step=188 pc=0x800002f0 inst=0x3ff0e193 x3 expected=0x0cd43fff got=0x1616e61f
[FAIL] step=189 pc=0x800002f4 inst=0xa64ce0b7 x1 expected=0xa64ce000 got=0x0cd43d1d
[FAIL] step=190 pc=0x800002f8 inst=0xc4f08093 x1 expected=0xa64cdc4f got=0xa64ce000
[FAIL] step=191 pc=0x800002fc inst=0xd1f0f193 x3 expected=0xa64cdc0f got=0x0cd43fff
[FAIL] step=192 pc=0x80000300 inst=0x765040b7 x1 expected=0x76504000 got=0xa64cdc4f
[FAIL] step=193 pc=0x80000304 inst=0x84608093 x1 expected=0x76503846 got=0x76504000
[FAIL] step=194 pc=0x80000308 inst=0x00008193 x3 expected=0x76503846 got=0xa64cdc0f
[FAIL] step=195 pc=0x8000030c inst=0x681100b7 x1 expected=0x68110000 got=0x76503846
[FAIL] step=196 pc=0x80000310 inst=0x4cf08093 x1 expected=0x681104cf got=0x68110000
[FAIL] step=197 pc=0x80000314 inst=0xc4f0a193 x3 expected=0x00000000 got=0x76503846
[FAIL] step=198 pc=0x80000318 inst=0xba5770b7 x1 expected=0xba577000 got=0x681104cf
[FAIL] step=199 pc=0x8000031c inst=0x90c08093 x1 expected=0xba57690c got=0xba577000
[PASS] retire step=200 pc=0x80000320 inst=0x0000b193 next_pc=0x80000324
[FAIL] step=201 pc=0x80000324 inst=0x261990b7 x1 expected=0x26199000 got=0xba57690c
[FAIL] step=202 pc=0x80000328 inst=0x30408093 x1 expected=0x26199304 got=0x26199000
[FAIL] step=203 pc=0x8000032c inst=0xfff0c193 x3 expected=0xd9e66cfb got=0x00000000
[FAIL] step=204 pc=0x80000330 inst=0xa52f10b7 x1 expected=0xa52f1000 got=0x26199304
[FAIL] step=205 pc=0x80000334 inst=0x90b08093 x1 expected=0xa52f090b got=0xa52f1000
[FAIL] step=206 pc=0x80000338 inst=0xc000e193 x3 expected=0xfffffd0b got=0xd9e66cfb
[FAIL] step=207 pc=0x8000033c inst=0x2c42e0b7 x1 expected=0x2c42e000 got=0xa52f090b
[FAIL] step=208 pc=0x80000340 inst=0xb0f08093 x1 expected=0x2c42db0f got=0x2c42e000
[FAIL] step=209 pc=0x80000344 inst=0xd6a0f193 x3 expected=0x2c42d90a got=0xfffffd0b
[FAIL] step=210 pc=0x80000348 inst=0x52e880b7 x1 expected=0x52e88000 got=0x2c42db0f
[FAIL] step=211 pc=0x8000034c inst=0x4d808093 x1 expected=0x52e884d8 got=0x52e88000
[FAIL] step=212 pc=0x80000350 inst=0x00108193 x3 expected=0x52e884d9 got=0x2c42d90a
[FAIL] step=213 pc=0x80000354 inst=0x661280b7 x1 expected=0x66128000 got=0x52e884d8
[FAIL] step=214 pc=0x80000358 inst=0xd0008093 x1 expected=0x66127d00 got=0x66128000
[FAIL] step=215 pc=0x8000035c inst=0xb0f0a193 x3 expected=0x00000000 got=0x52e884d9
[FAIL] step=216 pc=0x80000360 inst=0x184da0b7 x1 expected=0x184da000 got=0x66127d00
[FAIL] step=217 pc=0x80000364 inst=0x4d008093 x1 expected=0x184da4d0 got=0x184da000
[PASS] retire step=218 pc=0x80000368 inst=0x0010b193 next_pc=0x8000036c
[FAIL] step=219 pc=0x8000036c inst=0x16c090b7 x1 expected=0x16c09000 got=0x184da4d0
